iter	Passed	Remaining
219	2899	10281
220	2913	10269
221	2926	10256
222	2940	10244
223	2953	10233
224	2968	10223
225	2981	10212
226	2995	10199
227	3008	10187
228	3022	10175
229	3036	10165
230	3050	10155
231	3064	10144
232	3077	10131
233	3091	10121
234	3105	10109
235	3119	10097
236	3132	10085
237	3146	10073
238	3159	10060
239	3173	10048
240	3187	10037
241	3200	10024
242	3214	10012
243	3227	10000
244	3241	9989
245	3254	9976
246	3268	9963
247	3282	9954
248	3296	9941
249	3309	9929
250	3323	9917
251	3336	9904
252	3350	9892
253	3363	9879
254	3378	9869
255	3391	9856
256	3404	9842
257	3417	9829
258	3432	9819
259	3445	9807
260	3459	9794
261	3472	9780
262	3485	9767
263	3498	9753
264	3511	9739
265	3524	9724
266	3536	9708
267	3548	9691
268	3560	9675
269	3572	9658
270	3584	9642
271	3596	9625
272	3609	9610
273	3621	9595
274	3634	9580
275	3646	9564
276	3658	9549
277	3670	9532
278	3683	9519
279	3695	9503
280	3707	9487
281	3719	9471
282	3732	9456
283	3744	9440
284	3757	9426
285	3770	9412
286	3783	9398
287	3795	9383
288	3808	9369
289	3820	9353
290	3832	9337
291	3845	9322
292	3857	9308
293	3869	9293
294	3882	9279
295	3894	9263
296	3906	9247
297	3918	9231
298	3931	9217
299	3944	9203
300	3957	9189
301	3968	9173
302	3980	9157
303	3993	9142
304	4004	9125
305	4016	9109
306	4028	9093
307	4040	9078
308	4052	9061
309	4063	9045
310	4076	9031
311	4088	9016
312	4100	9000
313	4111	8983
314	4124	8969
315	4137	8955
316	4150	8942
317	4171	8946
318	4191	8947
319	4204	8934
320	4218	8922
321	4231	8910
322	4245	8897
323	4257	8882
324	4269	8866
325	4282	8854
326	4295	8840
327	4307	8824
328	4320	8810
329	4332	8796
330	4345	8782
331	4359	8770
332	4372	8759
333	4391	8756
334	4409	8752
335	4427	8748
336	4444	8743
337	4455	8726
338	4467	8711
339	4479	8695
340	4492	8681
341	4506	8670
342	4522	8663
343	4536	8651
344	4564	8666
345	4578	8654
346	4591	8640
347	4605	8629
348	4618	8615
349	4631	8601
350	4645	8589
351	4659	8576
352	4672	8564
353	4684	8549
354	4698	8536
355	4712	8524
356	4726	8512
357	4739	8499
358	4753	8486
359	4767	8474
360	4780	8462
361	4793	8449
362	4806	8433
363	4819	8421
364	4832	8406
365	4844	8390
366	4856	8376
367	4868	8361
368	4880	8346
369	4893	8331
370	4905	8316
371	4917	8300
372	4929	8285
373	4941	8271
374	4954	8257
375	4967	8244
376	4980	8230
377	4992	8215
378	5004	8200
379	5016	8184
380	5028	8170
381	5040	8154
382	5053	8140
383	5065	8125
384	5077	8111
385	5089	8096
386	5102	8082
387	5114	8067
388	5127	8053
389	5139	8038
390	5151	8023
391	5163	8008
392	5175	7994
393	5188	7979
394	5200	7964
395	5212	7950
396	5225	7936
397	5237	7922
398	5249	7907
399	5262	7893
400	5274	7879
401	5287	7865
402	5299	7850
403	5312	7836
404	5324	7821
405	5336	7807
406	5348	7792
407	5360	7778
